         14025 function calls (13678 primitive calls) in 0.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29/27    0.009    0.000    0.013    0.000 {built-in method _imp.create_dynamic}
       25    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
      102    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1212(find_spec)
     28/1    0.002    0.000    0.045    0.045 {built-in method builtins.exec}
      5/2    0.002    0.000    0.002    0.001 sre_parse.py:491(_parse)
       54    0.002    0.000    0.003    0.000 {built-in method builtins.__build_class__}
      191    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      225    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
       62    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      421    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        5    0.001    0.000    0.002    0.000 enum.py:88(__new__)
     58/3    0.001    0.000    0.044    0.015 <frozen importlib._bootstrap>:659(_load_unlocked)
      421    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      225    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
     62/3    0.001    0.000    0.045    0.015 <frozen importlib._bootstrap>:966(_find_and_load)
       25    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:813(get_data)
      225    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      163    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
        1    0.001    0.001    0.042    0.042 __init__.py:25(<module>)
      529    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       58    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1098(_get_spec)
      457    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     62/3    0.000    0.000    0.045    0.015 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      132    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
       51    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa38b60}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
      385    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      892    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
       25    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:726(get_code)
       25    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       73    0.000    0.000    0.000    0.000 enum.py:295(__setattr__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
      494    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
       59    0.000    0.000    0.000    0.000 enum.py:51(__setitem__)
      488    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      356    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    58/54    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
       66    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1043(__import__)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:163(__enter__)
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1207(_get_spec)
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
      451    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
    29/27    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:900(create_module)
     91/3    0.000    0.000    0.043    0.014 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
