{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
{'exp': 52, 'maxHealth': 100, 'dmg': 1, 'lv': 0, 'health': 100}
25
25
25
25
3
0
last event:  <Event(0-NoEvent {})>
         3366687 function calls (3361281 primitive calls) in 5.439 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    143/1    0.016    0.000    5.441    5.441 {built-in method builtins.exec}
        1    0.000    0.000    5.441    5.441 sur.py:1(<module>)
        1    0.000    0.000    5.213    5.213 sur.py:295(main)
        1    0.007    0.007    4.821    4.821 sur.py:367(mainLoop)
      371    0.004    0.000    4.741    0.013 stateSystem.py:47(handleEvent)
      127    0.004    0.000    3.764    0.030 sur.py:197(drawMain)
      127    0.001    0.000    3.381    0.027 map.py:56(draw)
      127    1.065    0.008    3.126    0.025 map.py:62(drawTiles)
   764191    1.106    0.000    1.106    0.000 camera.py:17(calcXY)
      236    0.005    0.000    0.973    0.004 sur.py:217(mainMechanic)
   105580    0.831    0.000    0.831    0.000 {method 'blit' of 'pygame.Surface' objects}
   104326    0.138    0.000    0.650    0.000 util.py:68(draw)
      277    0.009    0.000    0.556    0.002 player.py:260(moveSide)
      554    0.216    0.000    0.544    0.001 player.py:322(collide)
   180/10    0.002    0.000    0.482    0.048 <frozen importlib._bootstrap>:966(_find_and_load)
   180/10    0.001    0.000    0.482    0.048 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
   329951    0.298    0.000    0.481    0.000 util.py:17(distance)
   176/10    0.002    0.000    0.479    0.048 <frozen importlib._bootstrap>:659(_load_unlocked)
   696347    0.364    0.000    0.479    0.000 sprite.py:1287(collide_rect)
   120/10    0.001    0.000    0.479    0.048 <frozen importlib._bootstrap_external>:656(exec_module)
   228/10    0.000    0.000    0.477    0.048 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      236    0.106    0.000    0.261    0.001 sur.py:227(collideObjects)
        1    0.005    0.005    0.260    0.260 {built-in method pygame.display.set_mode}
        1    0.000    0.000    0.254    0.254 pkgdata.py:18(<module>)
        2    0.000    0.000    0.252    0.126 __init__.py:17(<module>)
      127    0.001    0.000    0.246    0.002 map.py:87(drawShadow)
   329951    0.183    0.000    0.183    0.000 {built-in method math.hypot}
    29/15    0.000    0.000    0.156    0.010 {built-in method builtins.__import__}
        2    0.000    0.000    0.152    0.076 sur.py:320(loadMap)
        7    0.000    0.000    0.145    0.021 __init__.py:65(load)
        7    0.000    0.000    0.144    0.021 constructor.py:33(get_single_data)
        7    0.000    0.000    0.136    0.019 composer.py:29(get_single_node)
        7    0.000    0.000    0.131    0.019 composer.py:50(compose_document)
    566/7    0.003    0.000    0.130    0.019 composer.py:63(compose_node)
     56/7    0.002    0.000    0.130    0.019 composer.py:117(compose_mapping_node)
     1617    0.003    0.000    0.124    0.000 parser.py:94(check_event)
      239    0.002    0.000    0.116    0.000 re.py:278(_compile)
